Rule Name,PHP Version,Files Triggered,Avg File LOC,Total LOC Affected
LongArrayToShortArrayRector,Php54,88,598,52607
NullToStrictStringFuncCallArgRector,Php81,81,604,48894
TernaryToNullCoalescingRector,Php70,49,735,36000
StrStartsWithRector,Php80,32,859,27477
StrContainsRector,Php80,30,745,22362
ListToArrayDestructRector,Php71,29,832,24116
DirNameFileConstantToDirConstantRector,Php53,27,389,10490
VarToPublicPropertyRector,Php52,23,530,12193
ClassPropertyAssignToConstructorPromotionRector,Php80,20,578,11560
FirstClassCallableRector,Php81,13,717,9321
TernaryToElvisRector,Php53,12,730,8755
ChangeSwitchToMatchRector,Php80,12,1147,13767
CurlyToSquareBracketArrayStringRector,Php74,9,1320,11878
Php4ConstructorRector,Php70,8,666,5326
StringableForToStringRector,Php80,8,341,2730
ClassOnObjectRector,Php80,7,886,6200
AddOverrideAttributeToOverriddenMethodsRector,Php83,7,570,3991
StrEndsWithRector,Php80,6,1035,6209
ClassOnThisVariableObjectRector,Php80,4,1154,4615
RemoveParentCallWithoutParentRector,DeadCode,4,599,2395
EregToPregMatchRector,Php70,4,596,2385
MultiDirnameRector,Php70,4,139,555
PowToExpRector,Php56,3,829,2486
Utf8DecodeEncodeToMbConvertEncodingRector,Php82,3,1785,5354
SensitiveConstantNameRector,Php73,3,1787,5361
NullCoalescingOperatorRector,Php74,3,932,2797
ReturnNeverTypeRector,TypeDeclaration,3,770,2311
StringifyStrNeedlesRector,Php73,3,794,2381
IfIssetToCoalescingRector,Php70,3,610,1829
BreakNotInLoopOrSwitchToReturnRector,Php70,2,1680,3361
CreateFunctionToAnonymousFunctionRector,Php72,2,314,627
ThisCallOnStaticMethodToStaticCallRector,Php70,2,571,1142
OptionalParametersAfterRequiredRector,CodeQuality,2,634,1267
StringifyDefineRector,Php72,1,2019,2019
ClassConstantToSelfClassRector,Php55,1,2186,2186
AssignArrayToStringRector,Php71,1,1256,1256
WhileEachToForeachRector,Php72,1,1256,1256
SetCookieRector,Php73,1,952,952
ConsistentImplodeRector,CodingStyle,1,1235,1235
ClosureToArrowFunctionRector,Php74,1,352,352
ArrayKeyFirstLastRector,Php73,1,636,636
RandomFunctionRector,Php70,1,828,828
WrapVariableVariableNameInCurlyBracesRector,Php70,1,933,933
IfToSpaceshipRector,Php70,1,1272,1272
FinalPrivateToPrivateVisibilityRector,Php80,1,425,425
RemoveUnusedVariableInCatchRector,Php80,1,511,511
RemoveExtraParametersRector,Php71,1,509,509
StringsAssertNakedRector,Php72,1,162,162
