file_id,filename,original_path,lines_of_code,php_version_changes,has_version_changes,selection_score,size_category
1,052_getid3.lib.php,"wordpress_4.0/wp-includes\ID3\getid3.lib.php",1342,12,True,297.0,extra_large
2,009_module.audio-video.asf.php,"wordpress_4.0/wp-includes\ID3\module.audio-video.asf.php",2019,12,True,268.8,extra_large
3,036_wp-db.php,"wordpress_4.0/wp-includes\wp-db.php",2186,12,True,262.1,extra_large
4,067_class-IXR.php,"wordpress_4.0/wp-includes\class-IXR.php",1100,10,True,260.0,extra_large
5,061_class-snoopy.php,"wordpress_4.0/wp-includes\class-snoopy.php",1256,5,True,250.0,extra_large
6,045_widgets.php,"wordpress_4.0/wp-includes\widgets.php",1514,10,True,238.0,extra_large
7,096_class-wp.php,"wordpress_4.0/wp-includes\class-wp.php",782,9,True,229.0,large
8,066_wp-login.php,"wordpress_4.0/wp-login.php",952,8,True,221.0,large
9,034_getid3.php,"wordpress_4.0/wp-includes\ID3\getid3.php",1776,8,True,221.0,extra_large
10,058_class-wp-theme.php,"wordpress_4.0/wp-includes\class-wp-theme.php",1235,8,True,218.0,extra_large
11,232_translations.php,"wordpress_4.0/wp-includes\pomo\translations.php",275,8,True,217.0,medium
12,012_module.audio-video.riff.php,"wordpress_4.0/wp-includes\ID3\module.audio-video.riff.php",2435,9,True,215.7,extra_large
13,049_file.php,"wordpress_4.0/wp-admin\includes\file.php",1150,8,True,213.0,extra_large
14,005_module.tag.id3v2.php,"wordpress_4.0/wp-includes\ID3\module.tag.id3v2.php",3414,9,True,211.9,extra_large
15,167_Diff.php,"wordpress_4.0/wp-includes\Text\Diff.php",450,8,True,209.0,medium
16,112_module.audio.ac3.php,"wordpress_4.0/wp-includes\ID3\module.audio.ac3.php",473,7,True,202.0,medium
17,086_press-this.php,"wordpress_4.0/wp-admin\press-this.php",691,7,True,198.0,large
18,281_streams.php,"wordpress_4.0/wp-includes\pomo\streams.php",209,7,True,195.0,medium
19,187_atomlib.php,"wordpress_4.0/wp-includes\atomlib.php",352,8,True,193.0,medium
20,085_class-ftp.php,"wordpress_4.0/wp-admin\includes\class-ftp.php",907,7,True,192.0,large
21,105_class-pop3.php,"wordpress_4.0/wp-includes\class-pop3.php",652,7,True,192.0,large
22,148_class-wp-customize-setting.php,"wordpress_4.0/wp-includes\class-wp-customize-setting.php",554,6,True,182.0,large
23,175_module.tag.id3v1.php,"wordpress_4.0/wp-includes\ID3\module.tag.id3v1.php",359,6,True,179.0,medium
24,073_edit-form-advanced.php,"wordpress_4.0/wp-admin\edit-form-advanced.php",636,6,True,177.0,large
25,134_widgets.php,"wordpress_4.0/wp-admin\widgets.php",442,6,True,175.0,medium
26,106_Source.php,"wordpress_4.0/wp-includes\SimplePie\Source.php",611,6,True,172.0,large
27,165_upload.php,"wordpress_4.0/wp-admin\upload.php",292,6,True,169.0,medium
28,186_themes.php,"wordpress_4.0/wp-admin\network\themes.php",266,6,True,169.0,medium
29,071_module.audio.ogg.php,"wordpress_4.0/wp-includes\ID3\module.audio.ogg.php",671,6,True,169.0,large
30,057_class-json.php,"wordpress_4.0/wp-includes\class-json.php",936,6,True,165.0,large
31,095_class-wp-plugins-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-plugins-list-table.php",605,6,True,163.0,large
32,103_class-wp-comments-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-comments-list-table.php",636,6,True,163.0,large
33,214_ms-settings.php,"wordpress_4.0/wp-includes\ms-settings.php",213,6,True,161.0,medium
